id,quantity,price,order_id,product_id,,
1,49,7529848,69,57,,"(1,49,7529848,69,57),"
2,69,7744492,79,25,,"(2,69,7744492,79,25),"
3,41,3351979,37,15,,"(3,41,3351979,37,15),"
4,58,3186275,98,60,,"(4,58,3186275,98,60),"
5,17,8711936,18,61,,"(5,17,8711936,18,61),"
6,68,233886,99,51,,"(6,68,233886,99,51),"
7,87,7080792,75,1,,"(7,87,7080792,75,1),"
8,94,7312313,56,3,,"(8,94,7312313,56,3),"
9,47,3528539,60,79,,"(9,47,3528539,60,79),"
10,6,3272686,5,55,,"(10,6,3272686,5,55),"
11,15,5334800,4,100,,"(11,15,5334800,4,100),"
12,81,1061973,84,54,,"(12,81,1061973,84,54),"
13,4,8512956,82,89,,"(13,4,8512956,82,89),"
14,96,3889490,30,47,,"(14,96,3889490,30,47),"
15,57,2777932,93,32,,"(15,57,2777932,93,32),"
16,29,6675018,86,66,,"(16,29,6675018,86,66),"
17,64,3138715,79,13,,"(17,64,3138715,79,13),"
18,86,6913125,11,43,,"(18,86,6913125,11,43),"
19,13,5409711,85,53,,"(19,13,5409711,85,53),"
20,9,6885415,80,80,,"(20,9,6885415,80,80),"
21,64,1286760,65,67,,"(21,64,1286760,65,67),"
22,94,4837271,38,41,,"(22,94,4837271,38,41),"
23,46,3067760,15,16,,"(23,46,3067760,15,16),"
24,42,1867830,41,22,,"(24,42,1867830,41,22),"
25,19,9948452,10,89,,"(25,19,9948452,10,89),"
26,99,9295350,78,17,,"(26,99,9295350,78,17),"
27,76,1156105,45,57,,"(27,76,1156105,45,57),"
28,97,2719024,31,35,,"(28,97,2719024,31,35),"
29,88,8525823,53,100,,"(29,88,8525823,53,100),"
30,26,7721553,31,4,,"(30,26,7721553,31,4),"
31,16,7644578,13,91,,"(31,16,7644578,13,91),"
32,37,5462275,11,97,,"(32,37,5462275,11,97),"
33,69,1876712,38,39,,"(33,69,1876712,38,39),"
34,45,4378982,23,89,,"(34,45,4378982,23,89),"
35,72,7918180,62,60,,"(35,72,7918180,62,60),"
36,17,1238008,41,95,,"(36,17,1238008,41,95),"
37,88,8388762,40,49,,"(37,88,8388762,40,49),"
38,32,4137629,28,31,,"(38,32,4137629,28,31),"
39,68,8701383,14,88,,"(39,68,8701383,14,88),"
40,64,1313342,77,1,,"(40,64,1313342,77,1),"
41,73,1774549,22,32,,"(41,73,1774549,22,32),"
42,64,983879,41,59,,"(42,64,983879,41,59),"
43,35,1704248,70,2,,"(43,35,1704248,70,2),"
44,45,401496,10,29,,"(44,45,401496,10,29),"
45,84,6304328,64,50,,"(45,84,6304328,64,50),"
46,34,6966207,98,37,,"(46,34,6966207,98,37),"
47,9,2866694,95,2,,"(47,9,2866694,95,2),"
48,73,5315834,23,81,,"(48,73,5315834,23,81),"
49,20,4573326,70,44,,"(49,20,4573326,70,44),"
50,64,6938203,19,24,,"(50,64,6938203,19,24),"
51,77,8010969,69,79,,"(51,77,8010969,69,79),"
52,45,6577088,72,94,,"(52,45,6577088,72,94),"
53,91,2088058,19,31,,"(53,91,2088058,19,31),"
54,70,6081366,87,94,,"(54,70,6081366,87,94),"
55,57,5142464,24,53,,"(55,57,5142464,24,53),"
56,13,3464191,20,19,,"(56,13,3464191,20,19),"
57,79,5997090,96,82,,"(57,79,5997090,96,82),"
58,11,1311877,88,93,,"(58,11,1311877,88,93),"
