id,quantity,price,order_id,product_id,,
1,19,22,53,94,,"(1,19,22,53,94),"
2,16,67,2,20,,"(2,16,67,2,20),"
3,80,58,32,87,,"(3,80,58,32,87),"
4,82,19,95,92,,"(4,82,19,95,92),"
5,37,40,31,64,,"(5,37,40,31,64),"
6,43,3,89,12,,"(6,43,3,89,12),"
7,9,2,68,99,,"(7,9,2,68,99),"
8,85,75,59,27,,"(8,85,75,59,27),"
9,75,65,43,56,,"(9,75,65,43,56),"
10,16,8,5,53,,"(10,16,8,5,53),"
11,80,77,74,95,,"(11,80,77,74,95),"
12,82,37,2,93,,"(12,82,37,2,93),"
13,77,74,54,37,,"(13,77,74,54,37),"
14,2,95,14,16,,"(14,2,95,14,16),"
15,34,4,83,3,,"(15,34,4,83,3),"
16,42,31,18,59,,"(16,42,31,18,59),"
17,93,46,38,13,,"(17,93,46,38,13),"
18,87,80,35,83,,"(18,87,80,35,83),"
19,76,40,49,76,,"(19,76,40,49,76),"
20,55,100,14,48,,"(20,55,100,14,48),"
21,1,81,65,39,,"(21,1,81,65,39),"
22,13,10,34,50,,"(22,13,10,34,50),"
23,80,11,88,42,,"(23,80,11,88,42),"
24,14,75,59,31,,"(24,14,75,59,31),"
25,75,41,52,16,,"(25,75,41,52,16),"
26,91,49,60,4,,"(26,91,49,60,4),"
27,92,65,20,76,,"(27,92,65,20,76),"
28,45,15,56,92,,"(28,45,15,56,92),"
29,15,42,55,55,,"(29,15,42,55,55),"
30,84,38,76,50,,"(30,84,38,76,50),"
31,58,65,8,57,,"(31,58,65,8,57),"
32,61,43,77,70,,"(32,61,43,77,70),"
33,65,69,71,69,,"(33,65,69,71,69),"
34,81,85,7,57,,"(34,81,85,7,57),"
35,31,69,68,17,,"(35,31,69,68,17),"
36,74,39,62,100,,"(36,74,39,62,100),"
37,48,86,48,50,,"(37,48,86,48,50),"
38,71,54,35,64,,"(38,71,54,35,64),"
39,65,87,43,81,,"(39,65,87,43,81),"
40,89,97,65,78,,"(40,89,97,65,78),"
41,84,29,70,7,,"(41,84,29,70,7),"
42,27,3,74,66,,"(42,27,3,74,66),"
43,25,20,14,11,,"(43,25,20,14,11),"
44,47,8,75,74,,"(44,47,8,75,74),"
45,75,51,7,82,,"(45,75,51,7,82),"
46,56,55,83,4,,"(46,56,55,83,4),"
47,14,71,66,45,,"(47,14,71,66,45),"
48,21,61,86,29,,"(48,21,61,86,29),"
49,57,58,95,42,,"(49,57,58,95,42),"
50,86,74,80,53,,"(50,86,74,80,53),"
51,18,98,1,27,,"(51,18,98,1,27),"
52,43,74,13,6,,"(52,43,74,13,6),"
53,21,52,92,63,,"(53,21,52,92,63),"
54,88,52,95,50,,"(54,88,52,95,50),"
55,81,94,57,84,,"(55,81,94,57,84),"
56,54,90,46,45,,"(56,54,90,46,45),"
57,44,36,62,4,,"(57,44,36,62,4),"
58,60,48,8,94,,"(58,60,48,8,94),"
59,64,94,84,82,,"(59,64,94,84,82),"
60,82,66,87,9,,"(60,82,66,87,9),"
61,11,4,21,87,,"(61,11,4,21,87),"
62,59,9,14,22,,"(62,59,9,14,22),"
63,74,73,11,45,,"(63,74,73,11,45),"
64,34,30,87,66,,"(64,34,30,87,66),"
65,23,28,91,47,,"(65,23,28,91,47),"
66,30,26,76,66,,"(66,30,26,76,66),"
67,77,17,24,77,,"(67,77,17,24,77),"
68,64,96,82,21,,"(68,64,96,82,21),"
69,58,22,98,83,,"(69,58,22,98,83),"
70,48,63,96,21,,"(70,48,63,96,21),"
71,96,26,7,98,,"(71,96,26,7,98),"
72,59,29,42,36,,"(72,59,29,42,36),"
73,57,68,60,17,,"(73,57,68,60,17),"
74,23,35,5,61,,"(74,23,35,5,61),"
75,72,45,76,93,,"(75,72,45,76,93),"
76,81,20,56,41,,"(76,81,20,56,41),"
77,41,85,28,100,,"(77,41,85,28,100),"
78,38,9,26,70,,"(78,38,9,26,70),"
79,12,31,59,21,,"(79,12,31,59,21),"
80,37,35,4,78,,"(80,37,35,4,78),"
81,38,80,9,7,,"(81,38,80,9,7),"
82,72,63,45,70,,"(82,72,63,45,70),"
83,100,89,99,74,,"(83,100,89,99,74),"
84,58,13,70,65,,"(84,58,13,70,65),"
85,63,51,15,69,,"(85,63,51,15,69),"
86,1,36,4,74,,"(86,1,36,4,74),"
87,6,76,42,3,,"(87,6,76,42,3),"
88,47,22,78,82,,"(88,47,22,78,82),"
89,74,23,65,40,,"(89,74,23,65,40),"
90,55,44,5,94,,"(90,55,44,5,94),"
91,28,19,98,62,,"(91,28,19,98,62),"
92,44,13,8,13,,"(92,44,13,8,13),"
93,17,29,81,57,,"(93,17,29,81,57),"
94,68,42,43,10,,"(94,68,42,43,10),"
95,48,20,22,17,,"(95,48,20,22,17),"
96,83,36,21,15,,"(96,83,36,21,15),"
97,21,80,44,31,,"(97,21,80,44,31),"
98,61,33,25,35,,"(98,61,33,25,35),"
99,22,73,73,89,,"(99,22,73,73,89),"
100,69,52,85,50,,"(100,69,52,85,50),"
